index,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text,sentiment
319,1/23/18 11:55,134949,9.55771E+17,FALSE,36971,Twitter for iPhone,In one of the biggest stories in a long time the FBI now says it is missing five months worth of lovers Strzok-Page texts perhaps 50000 and all in prime time. Wow!,0.8016
320,1/23/18 11:51,3377,9.5577E+17,FALSE,1115,Twitter for iPhone,In one of the biggest stories in a long time the FBI says it is now missing five months worth of lovers Strzok - Page texts perhaps 50000 all in prime time. Wow!,0.8016
321,1/23/18 11:31,129596,9.55765E+17,FALSE,27462,Twitter for iPhone,Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...Schumer and Dems caved...gambled and lost.” Thank you for your honesty Jim!,0.7177
322,1/23/18 4:30,133812,9.55659E+17,FALSE,28224,Twitter for iPhone,Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone including Republicans Democrats and DACA but especially for our Great Military and Border Security. Should be able to get there. See you at the negotiating table!,0.9184
323,1/22/18 15:13,93311,9.55458E+17,FALSE,21781,Twitter for iPhone,End the Democrats Obstruction! https://t.co/tzBXilvW1b,0
324,1/22/18 13:15,109898,9.55429E+17,FALSE,22345,Twitter for iPhone,Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!,-0.6049
325,1/22/18 13:07,132396,9.55427E+17,FALSE,33480,Twitter for iPhone,The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!,0.8655
326,1/22/18 1:21,127050,9.55249E+17,FALSE,23749,Twitter for iPhone,Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoen for the very good grade and statements. Working hard!,0.6793
327,1/21/18 12:35,178941,9.55056E+17,FALSE,47818,Twitter for iPhone,Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illegal immigrants to pour into our nation unchecked. If stalemate continues Republicans should go to 51% (Nuclear Option) and vote on real long term budget no C.R.’s!,-0.2003
328,1/21/18 12:20,0,9.55052E+17,TRUE,44891,Twitter for iPhone,RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…,-0.2263
329,1/21/18 2:34,0,9.54905E+17,TRUE,14414,Twitter for iPhone,"RT @FoxNews: .@EricTrump: ""My father was elected for one reason and that's because he actually believes in putting America first which is…",0
330,1/21/18 2:33,0,9.54905E+17,TRUE,14559,Twitter for iPhone,"RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office 863000 new jobs were filled by women. Over half a million American women have en…",0
331,1/21/18 2:31,0,9.54904E+17,TRUE,13166,Twitter for iPhone,"RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…",0
332,1/21/18 2:31,0,9.54904E+17,TRUE,7391,Twitter for iPhone,"RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible that's been filled with nothing but the best for our country America…",-0.6759
333,1/21/18 2:18,46706,9.54901E+17,FALSE,6389,Twitter for iPhone,Eric Trump on @JudgeJeanine on @FoxNews now!,0
334,1/21/18 0:47,154853,9.54878E+17,FALSE,31921,Twitter for iPhone,The Trump Administration has terminated more UNNECESSARY Regulation in just twelve months than any other Administration has terminated during their full term in office no matter what the length. The good news is THERE IS MUCH MORE TO COME!,0.2714
335,1/21/18 0:40,0,9.54876E+17,TRUE,42614,Twitter for iPhone,RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…,0.4654
336,1/20/18 22:31,130892,9.54844E+17,FALSE,29055,Twitter for iPhone,Unprecedented success for our Country in so many ways since the Election. Record Stock Market Strong on Military Crime Borders &amp; ISIS Judicial Strength &amp; Numbers Lowest Unemployment for Women &amp; ALL Massive Tax Cuts end of Individual Mandate - and so much more. Big 2018!,0.0752
337,1/20/18 18:51,209710,9.54788E+17,FALSE,53725,Twitter for iPhone,Beautiful weather all over our great country a perfect day for all Women to March. Get out there now to celebrate the historic milestones and unprecedented economic success and wealth creation that has taken place over the last 12 months. Lowest female unemployment in 18 years!,0.9647
338,1/20/18 14:27,168968,9.54722E+17,FALSE,44943,Twitter for iPhone,Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!,-0.2942
339,1/20/18 11:47,123740,9.54682E+17,FALSE,31872,Twitter for iPhone,#AMERICA FIRST!,0
340,1/20/18 11:44,155084,9.54681E+17,FALSE,40265,Twitter for iPhone,For those asking the Republicans only have 51 votes in the Senate and they need 60. That is why we need to win more Republicans in 2018 Election! We can then be even tougher on  Crime (and Border) and even better to our Military &amp; Veterans!,0.6688
341,1/20/18 11:33,124222,9.54678E+17,FALSE,30695,Twitter for iPhone,This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown,0.4215
342,1/20/18 11:17,145344,9.54674E+17,FALSE,42612,Twitter for iPhone,Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dangerous Southern Border. They could have easily made a deal but decided to play Shutdown politics instead. #WeNeedMoreRepublicansIn18 in order to power through mess!,0.2047
343,1/20/18 2:28,117670,9.54541E+17,FALSE,31457,Twitter for iPhone,Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shutdown in order to help diminish the great success of the Tax Cuts and what they are doing for our booming economy.,0.9546
