index,publishedAt,sentiment,type
3,2018-01-08T23:49:50Z,0.5563,news
4,2018-01-08T14:23:02Z,0.2946,news
5,2018-01-08T22:31:51Z,0,news
6,2018-01-08T23:30:20Z,0.6801,news
7,2018-01-08T23:01:01Z,0.4767,news
8,2018-01-08T13:43:50Z,-0.5994,news
9,2018-01-08T19:54:58Z,0.4404,news
10,2018-01-08T22:14:06Z,-0.5574,news
11,2018-01-08T04:18:52Z,-0.5868,news
12,2018-01-08T04:30:55Z,-0.1027,news
13,2018-01-08T23:25:46Z,0.8823,news
14,2018-01-08T21:20:17Z,0.5106,news
15,2018-01-08T01:15:27Z,-0.7351,news
16,2018-01-08T01:36:43Z,-0.1531,news
17,2018-01-08T20:04:09Z,0.802,news
18,2018-01-08T08:00:28Z,-0.0258,news
19,2018-01-08T13:21:46Z,-0.6369,news
0,2018-01-09T00:55:04Z,-0.7717,news
1,2018-01-09T22:31:44Z,0.6249,news
2,2018-01-09T02:40:00Z,0.4215,news
3,2018-01-09T16:45:00Z,-0.7096,news
4,2018-01-09T23:15:00Z,-0.296,news
5,2018-01-09T22:00:00Z,-0.4215,news
6,2018-01-09T00:20:49Z,0,news
7,2018-01-09T10:13:33Z,0.7906,news
8,2018-01-09T00:39:42Z,-0.1779,news
9,2018-01-09T01:25:46Z,0.4019,news
10,2018-01-09T18:23:02Z,-0.1513,news
11,2018-01-09T00:16:12Z,0.7783,news
12,2018-01-09T10:31:04Z,0.765,news
13,2018-01-09T01:24:36Z,-0.5267,news
14,2018-01-09T13:59:50Z,0,news
15,2018-01-09T18:58:17Z,0,news
16,2018-01-09T10:52:08Z,-0.7003,news
17,2018-01-09T18:51:20Z,-0.4753,news
18,2018-01-09T23:26:53Z,0.25,news
19,2018-01-09T21:28:36Z,-0.34,news
0,2018-01-10T21:00:00Z,-0.4079,news
1,2018-01-10T17:35:00Z,-0.7269,news
2,2018-01-10T16:50:00Z,-0.7579,news
3,2018-01-10T02:45:00Z,-0.8176,news
4,2018-01-10T18:15:00Z,0.4215,news
5,2018-01-10T10:00:22Z,0.34,news
6,2018-01-10T02:29:34Z,0.6597,news
7,2018-01-10T16:50:41Z,0.4939,news
8,2018-01-10T19:13:09Z,-0.2865,news
9,2018-01-10T01:53:01Z,0,news
10,2018-01-10T02:50:44Z,0.4019,news
11,2018-01-10T00:20:58Z,0.2023,news
12,2018-01-10T22:42:37Z,0.505,news
13,2018-01-10T00:25:12Z,0.6908,news
14,2018-01-10T13:58:28Z,-0.1531,news
15,2018-01-10T19:09:55Z,0,news
16,2018-01-10T10:11:53Z,-0.5859,news
17,2018-01-10T21:03:55Z,-0.6486,news
18,2018-01-10T11:09:00Z,-0.8776,news
19,2018-01-10T17:22:04Z,0.68,news
